511.9,3.6926,247.73
5.5864,511.51,316.62
507.94,1.9179,352.22
4.9082,511.42,397.85
509.06,507.39,449.41
1.9734,507.25,223.69
4.4057,4.5842,197.18
2.4346,509.9,154.49
2.3527,2.5167,91.583
509.39,506.64,73.782
5.3253,509.89,24.119
2.3459,50.759,126.74
1.9275,54.727,147.51
0.48997,49.688,190.05
511.12,48.691,262.8
511.12,49.042,348.75
8.0835,61.082,375.06
0.55623,51.035,448.41
5.6483,56.45,497.43
511.44,60.261,75.121
9.3598,57.073,26.306
8.088,49.05,5.7845
3.3867,104.76,82.037
509.15,107.22,96.902
504.11,115.19,129.71
507.38,110.49,158.17
511.8,103.69,229.83
511.3,110.03,251.28
509.52,106.96,272.81
506.02,108.81,305.5
507.64,104.83,386.67
1.6393,112.76,440.16
510.7,113.2,474.42
507.09,110.86,502.83
4.6833,103.45,58.768
505.89,112.48,29.785
509.48,103.89,11.284
510.49,157.45,397.27
503.99,164.72,473.21
510.53,157.62,499.41
504.9,166.26,503.24
508.75,164.19,304.93
506.71,166.15,270.31
505.65,161.46,244.04
511.74,167.56,232.77
509.81,157.89,166.15
508,160.19,149.09
507.51,167.85,30.471
509.33,158.19,25.042
509.51,215.23,334.14
6.2368,208.04,387.99
2.42,212.95,480.44
8.0341,215.15,244.61
510.58,206.69,205.14
510.18,213.87,172.03
3.3407,218.25,125.56
8.508,214.94,76.67
3.3814,208.6,56.084
1.9913,217.16,24.291
0.78247,264.56,349.43
505.61,258.09,391.19
3.235,262.9,403.3
510.8,263.7,435.05
2.2365,268.01,474.87
1.3842,260.44,318.67
504.49,266,292.23
504.44,264.85,268.93
503.27,259.84,228.85
511.26,262.62,138.32
507.89,260.26,48.273
505.57,261.77,3.8188
9.502,322.36,139.97
5.7134,319.95,218.76
5.2898,313.99,233.36
5.1417,318.11,250.22
9.2302,316.68,319.75
8.4882,321.8,336.77
8.3934,312.73,358.37
511.63,322.12,428.97
3.1982,310.85,479.74
1.9366,317.59,106.95
511.07,316.84,83.334
1.1564,319.66,57.046
8.1832,312.32,35.505
0.034407,373.03,78.009
510.88,369.5,150.9
510.36,365.27,217
506.83,367.05,238.11
507.25,365.95,338.16
0.46514,367.85,365.22
509.15,373.35,419.25
508.55,373.05,485.89
507.9,370.46,24.514
502.59,428.25,101.14
501.31,428.62,183.21
504.46,428.92,205.96
508.01,423.3,242.92
501.03,423.3,309.23
0.30824,428.58,417.09
510.17,419.41,449.6
510.08,418.99,470.23
0.50332,419.1,504.03
510.35,418.33,5.4101
508.94,478.14,145.94
509.36,477.59,181.1
5.1046,477.88,218.36
2.8054,477.22,249.77
5.0461,468.5,280.05
511.81,469.48,308.16
7.6294,474.8,351.53
0.87071,475.41,379.24
3.7938,470.66,446.28
3.8321,476.27,484.08
0.32514,473.66,507.22
510.18,470.2,102.7
1.8129,475.53,55.219
21.302,7.0216,56.561
25.038,3.1096,75.106
26.79,510.46,106.57
19.503,1.129,148.63
26.58,0.26995,198.13
26.277,2.7232,259.13
25.101,5.4819,296.86
29.348,7.6914,321.64
30.015,7.4069,370.93
27.834,1.5994,415.75
19.492,9.223,467.97
35.614,57.445,107.02
31.852,54.628,131.09
37.098,59.705,147.34
37.306,60.159,211.95
37.824,51.982,235.85
29.078,50.766,302.87
34.26,50.178,344.1
35.566,58.704,428.55
30.357,50.616,494.02
32.582,108.28,234.5
30.574,106.09,245.73
39.434,107.13,274.28
32.755,113.63,298.61
35.38,106.8,345.94
33.877,101.77,389.71
35.616,105.11,400.17
29.158,111.45,436.17
30.343,108.38,461.62
40.377,107.36,480.81
41.188,113.77,206.12
37.717,114.1,165.28
35.873,109.14,141.14
34.128,108.65,124.36
33.249,105.9,62.355
36.92,106.1,26.34
34.74,113.81,8.3909
30.278,159.36,15.443
29.706,159.96,136.6
32.388,160.49,181.63
25.309,157.36,320.54
25.171,153.28,392.53
30.82,154.93,428.65
31.017,160.04,459.44
32.518,156.01,500.51
23.368,207.24,129.69
27.341,215.86,143.74
27.702,210.68,230.57
28.463,213.94,248.53
31.884,210.61,258.22
24.9,214.85,270.99
24.981,212.54,367.83
22.644,212.18,457.14
25.286,214.56,510.34
23.238,209.17,74.315
27.356,203.86,1.4411
42.494,257.25,30.449
41.606,268.17,75.231
41.339,259.64,109.97
42.029,256.31,284.06
38.08,260.65,292.98
34.006,260.91,324.37
34.465,261.14,345.37
34.207,258.73,384.85
33.839,262.01,395.39
33.151,262.39,424.03
38.89,268.33,453.76
29.163,319.01,243.57
26.437,316.6,290.48
26.528,309.94,387.43
28.469,308.75,119.65
31.954,317.72,114.77
25.538,310.59,101.5
33.768,314.95,62.236
30.361,313.78,51.523
26.559,319.28,21.693
31.296,368.45,100.06
39.876,373.17,175.74
32.37,373.08,203.78
28.103,373.31,278.73
29.077,375.09,308.5
28.498,377.61,330.14
29.449,368.53,360.69
39.615,368.54,425.89
33.408,368.73,68.311
34.061,420.82,188.81
33.619,421.6,278.25
